70.014,3.2384e-18,0.33333,919,23924
70.028,3.2381e-18,0.66667,919.1,24164
70.042,3.2377e-18,1,919.22,24431
70.056,3.2373e-18,1.3333,919.36,24746
70.069,3.2368e-18,1.6667,919.52,25071
70.083,3.2362e-18,2,919.69,25407
70.097,3.2356e-18,2.3333,919.87,25724
70.111,3.235e-18,2.6667,920.06,26004
70.125,3.2344e-18,3,920.24,26241
70.139,3.2338e-18,3.3333,920.43,26419
70.153,3.2332e-18,3.6667,920.6,26549
70.167,3.2326e-18,4,920.77,26597
70.181,3.2321e-18,4.3333,920.92,26577
70.194,3.2316e-18,4.6667,921.06,26479
70.208,3.2312e-18,5,921.18,26304
70.222,3.2309e-18,5.3333,921.28,26062
70.236,3.2306e-18,5.6667,921.35,25753
70.25,3.2304e-18,6,921.4,25407
70.264,3.2302e-18,6.3333,921.43,25019
70.278,3.2301e-18,6.6667,921.45,24625
70.292,3.23e-18,7,921.46,24215
70.306,3.23e-18,7.3333,921.47,23811
70.319,3.23e-18,7.6667,921.47,23414
70.333,3.23e-18,8,921.46,23026
70.347,3.2301e-18,8.3333,921.42,22666
70.361,3.2302e-18,8.6667,921.37,22323
70.375,3.2304e-18,9,921.3,22018
70.389,3.2306e-18,9.3333,921.22,21748
70.403,3.2308e-18,9.6667,921.12,21527
70.417,3.2311e-18,10,921,21348
70.431,3.2315e-18,10.333,920.86,21222
70.444,3.2319e-18,10.667,920.71,21145
70.458,3.2323e-18,11,920.54,21099
70.472,3.2328e-18,11.333,920.37,21094
70.486,3.2332e-18,11.667,920.19,21122
70.5,3.2336e-18,12,920.02,21181
70.514,3.234e-18,12.333,919.86,21264
70.528,3.2343e-18,12.667,919.71,21371
70.542,3.2345e-18,13,919.58,21493
70.556,3.2347e-18,13.333,919.46,21620
70.569,3.2349e-18,13.667,919.36,21752
70.583,3.2349e-18,14,919.28,21878
70.597,3.2349e-18,14.333,919.22,21999
70.611,3.2349e-18,14.667,919.17,22105
70.625,3.2349e-18,15,919.13,22199
70.639,3.2348e-18,15.333,919.1,22275
70.653,3.2346e-18,15.667,919.09,22340
70.667,3.2345e-18,16,919.08,22377
70.681,3.2344e-18,16.333,919.08,22389
70.694,3.2342e-18,16.667,919.09,22361
70.708,3.234e-18,17,919.1,22296
70.722,3.2339e-18,17.333,919.11,22196
70.736,3.2338e-18,17.667,919.12,22065
70.75,3.2337e-18,18,919.12,21907
70.764,3.2336e-18,18.333,919.1,21738
70.778,3.2336e-18,18.667,919.08,21588
70.792,3.2335e-18,19,919.05,21457
70.806,3.2335e-18,19.333,919.02,21362
70.819,3.2335e-18,19.667,918.99,21307
70.833,3.2335e-18,20,918.96,21315
70.847,3.2336e-18,20.333,918.94,21390
70.861,3.2336e-18,20.667,918.92,21542
70.875,3.2335e-18,21,918.92,21763
70.889,3.2335e-18,21.333,918.92,22027
70.903,3.2335e-18,21.667,918.93,22331
70.917,3.2334e-18,22,918.94,22607
70.931,3.2333e-18,22.333,918.97,22867
70.944,3.2332e-18,22.667,919,23080
70.958,3.2331e-18,23,919.04,23268
70.972,3.233e-18,23.333,919.1,23422
70.986,3.2328e-18,23.667,919.16,23568
71,3.2325e-18,0,919.24,23730
71.014,3.2323e-18,0.33333,919.32,23903
71.028,3.232e-18,0.66667,919.42,24125
71.042,3.2316e-18,1,919.54,24374
71.056,3.2312e-18,1.3333,919.68,24671
71.069,3.2307e-18,1.6667,919.83,24980
71.083,3.2302e-18,2,920,25299
71.097,3.2297e-18,2.3333,920.18,25602
71.111,3.2291e-18,2.6667,920.36,25869
71.125,3.2285e-18,3,920.54,26096
71.139,3.2279e-18,3.3333,920.72,26266
71.153,3.2273e-18,3.6667,920.9,26390
71.167,3.2267e-18,4,921.06,26434
71.181,3.2262e-18,4.3333,921.22,26413
71.194,3.2258e-18,4.6667,921.35,26317
71.208,3.2253e-18,5,921.47,26144
71.222,3.225e-18,5.3333,921.57,25907
71.236,3.2247e-18,5.6667,921.64,25603
71.25,3.2245e-18,6,921.7,25263
71.264,3.2243e-18,6.3333,921.73,24881
71.278,3.2242e-18,6.6667,921.74,24492
71.292,3.2241e-18,7,921.76,24086
71.306,3.2241e-18,7.3333,921.77,23684
71.319,3.2241e-18,7.6667,921.77,23289
71.333,3.2241e-18,8,921.75,22902
71.347,3.2242e-18,8.3333,921.72,22541
71.361,3.2243e-18,8.6667,921.67,22196
71.375,3.2245e-18,9,921.6,21890
71.389,3.2247e-18,9.3333,921.51,21620
71.403,3.2249e-18,9.6667,921.41,21399
71.417,3.2253e-18,10,921.29,21221
71.431,3.2256e-18,10.333,921.15,21097
71.444,3.226e-18,10.667,920.99,21024
71.458,3.2265e-18,11,920.82,20982
71.472,3.2269e-18,11.333,920.64,20983
71.486,3.2274e-18,11.667,920.46,21018
71.5,3.2278e-18,12,920.29,21085
71.514,3.2282e-18,12.333,920.12,21178
71.528,3.2285e-18,12.667,919.97,21295
71.542,3.2288e-18,13,919.84,21428
71.556,3.229e-18,13.333,919.72,21567
71.569,3.2291e-18,13.667,919.62,21711
71.583,3.2292e-18,14,919.54,21846
71.597,3.2292e-18,14.333,919.48,21977
71.611,3.2292e-18,14.667,919.43,22090
71.625,3.2291e-18,15,919.39,22191
71.639,3.2291e-18,15.333,919.37,22272
71.653,3.229e-18,15.667,919.35,22340
71.667,3.2288e-18,16,919.34,22378
71.681,3.2287e-18,16.333,919.34,22390
71.694,3.2286e-18,16.667,919.34,22359
71.708,3.2284e-18,17,919.35,22292
71.722,3.2283e-18,17.333,919.37,22189
71.736,3.2282e-18,17.667,919.37,22054
71.75,3.2281e-18,18,919.37,21894
71.764,3.2281e-18,18.333,919.35,21722
71.778,3.228e-18,18.667,919.32,21572
71.792,3.228e-18,19,919.29,21441
71.806,3.228e-18,19.333,919.26,21350
71.819,3.228e-18,19.667,919.23,21301
71.833,3.228e-18,20,919.2,21316
71.847,3.2281e-18,20.333,919.18,21400
71.861,3.2281e-18,20.667,919.16,21563
71.875,3.2281e-18,21,919.15,21795
71.889,3.2281e-18,21.333,919.15,22069
71.903,3.228e-18,21.667,919.16,22381
71.917,3.2279e-18,22,919.18,22663
71.931,3.2279e-18,22.333,919.2,22922
71.944,3.2278e-18,22.667,919.23,23130
71.958,3.2277e-18,23,919.28,23311
71.972,3.2275e-18,23.333,919.33,23454
71.986,3.2273e-18,23.667,919.39,23585
72,3.2271e-18,0,919.47,23732
72.014,3.2269e-18,0.33333,919.55,23889
72.028,3.2266e-18,0.66667,919.65,24093
72.042,3.2263e-18,1,919.76,24325
72.056,3.2259e-18,1.3333,919.89,24603
